spec.name,Scientific_name,TSN,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Agrostema githago,Agrostemma githago,NA,Agrostema githago,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,1,wfo-0000524512,urn:lsid:ipni.org:names:95561-3,759050,species,wfo-4000000994,L.,Caryophyllaceae,,,,Agrostemma,,githago,,species,Valid,Species Plantarum 2 1753,Accepted,,,NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 435 1753 to Species Plantarum 2 1753 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2626726 >The P",http://www.theplantlist.org/tpl1.1/record/kew-2626726,The Caryophyllales TEN -The Caryophyllales Network,A,kew-2626726,,FALSE,,,,
Allium canadensis,Allium canadense,NA,Allium canadensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,wfo-0000755875,urn:lsid:ipni.org:names:527759-1,295220,species,wfo-4000001260,L.,Amaryllidaceae,,,,Allium,,canadense,,species,Valid,Sp. Pl. : 1195 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 2: 1195. 1753 [1 May 1753] to Sp. Pl. : 1195 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2",http://www.theplantlist.org/tpl1.1/record/kew-295220,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-295220,,FALSE,,,,Not a synonym
Althea officinalis,Althaea officinalis,NA,Althea officinalis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,3,1,wfo-0000529011,urn:lsid:ipni.org:names:558872-1,763753,species,wfo-4000001416,L.,Malvaceae,,,,Althaea,,officinalis,,species,Valid,Sp. Pl. : 686 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 686 1753 to Sp. Pl. : 686 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2631597 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-2631597,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2631597,,FALSE,,,,
Anagalis arvensis,Anagallis arvensis,NA,Anagalis arvensis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,1,wfo-0000744184,urn:lsid:ipni.org:names:77100386-1,1019396,species,wfo-4000022565,(L.) U.Manns & Anderb.,Primulaceae,,,,Lysimachia,,arvensis,,species,Valid,Willdenowia  39: 51 (2009),Accepted,,wfo-0000533162,NA,"Source in seed data: ksu Update namepublishedIn from Willdenowia 39(1): 51. 2009 [7 Jul 2009] to Willdenowia 39: 51 (2009), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77100386-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2896568,,TRUE,Synonym,wfo-0000533162,Anagallis arvensis,
Anemonella thallictroides,Anemonella thalictroides,NA,Anemonella thallictroides,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,1,wfo-0000535938,urn:lsid:ipni.org:names:708732-1,770945,species,wfo-4000002055,Spach,Ranunculaceae,,,,Anemonella,,thalictroides,,species,Valid,Hist. Nat. Vég. 7: 240 (1838),Accepted,,wfo-0000535845,NA,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Spach to Spach, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2638832 >The Plant List v.1.1.<",http://www.theplantlist.org/tpl1.1/record/kew-2638832,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2638832,,FALSE,,,,
Calopogon pulchellis,Calopogon tuberosus var. tuberosus,NA,Calopogon pulchellis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,6,1,wfo-0000780309,urn:lsid:ipni.org:names:77167801-1,31886,variety,wfo-0000780265,,Orchidaceae,,,,Calopogon,,tuberosus,tuberosus,variety,Valid,Unknown,Accepted,,,NA,"Source in seed data: wcs Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from https://wcvp.science.kew.org/taxon/77167801-1, according to WCVP, information provided by Alan E. on email Dec 02 2020 More details",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77167801-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-31886,,TRUE,Synonym,wfo-0000780209,Calopogon pulchellus,smallest ID
Cannabis sativam,Cannabis sativa,NA,Cannabis sativam,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,7,1,wfo-0000584001,urn:lsid:ipni.org:names:306087-2,827930,species,wfo-4000006546,L.,Cannabaceae,,,,Cannabis,,sativa,,species,Valid,Sp. Pl. : 1027 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1027 1753 to Sp. Pl. : 1027 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2696480 >The Plant",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306087-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2696480,,FALSE,,,,
Cardamine bulbosus,Cardamine bulbosa,NA,Cardamine bulbosus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,8,1,wfo-0000586592,urn:lsid:ipni.org:names:45119-2,830965,species,wfo-4000006656,"(Schreb. ex Muhl.) Britton, Sterns & Poggenb.",Brassicaceae,,,,Cardamine,,bulbosa,,species,Valid,Prelim. Cat. : 4 (1888),Accepted,,wfo-0000542005,NA,"Source in seed data: cmp Update namepublishedIn from Prelim. Cat. 4 1888 to Prelim. Cat. : 4 (1888), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2699541 >The P",http://www.theplantlist.org/tpl1.1/record/kew-2699541,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2699541,,FALSE,,,,
Cornus ammonum,Cornus amomum,NA,Cornus ammonum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,9,1,wfo-0000924584,urn:lsid:ipni.org:names:66085-2,47280,species,wfo-4000009342,Mill.,Cornaceae,,,,Cornus,,amomum,,species,Valid,"Gard. Dict., ed. 8. : n.° 5 (1768)",Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Gard. Dict. ed. 8 5 1768 to Gard. Dict. ed. 8 : n.º 5 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66085-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-47280,,FALSE,,,,
Crotolaria sagittalis,Crotalaria sagittalis,NA,Crotolaria sagittalis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,10,1,wfo-0000174082,urn:lsid:ipni.org:names:318914-2,20198,species,wfo-4000009787,L.,Fabaceae,Papilionoideae,,,Crotalaria,,sagittalis,,species,Valid,Sp. Pl. : 714 (1753),Accepted,,,NA,"Source in seed data: ildis Update namepublishedIn from to Sp. Pl. : 714 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-20198 >The Plant List v.1.1.</a> Or",https://www.legumedata.org/taxonomy/taxon/2744502,The Fabaceae TEN - Legume Taxonomy Working Group,A,ild-20198,,FALSE,,,,
